date,venue_code,found,rooms_available,rooms_occupied,room_revenue,state,hotelSearchesMX,is_holiday,hocc,hotelSearches,dayofweek,day,month,venue_encode,occ
3/21/2019,BJXCR,True,155,73,109660.36,Guanajuato,0.87,1,0,0.24,3,21,3,0,0.470967742
3/22/2019,BJXCR,True,155,94,156782.6,Guanajuato,0.83,0,0,0.18,4,22,3,0,0.606451613
3/23/2019,BJXCR,True,155,138,240567.35,Guanajuato,0.88,0,0,0.32,5,23,3,0,0.890322581
3/24/2019,BJXCR,True,155,47,73837.32,Guanajuato,0.87,0,0,0.6,6,24,3,0,0.303225806
3/25/2019,BJXCR,True,155,58,80106.36,Guanajuato,0.91,0,0,0.24,0,25,3,0,0.374193548
3/26/2019,BJXCR,True,155,61,78507.82,Guanajuato,0.91,0,0,0.35,1,26,3,0,0.393548387
3/27/2019,BJXCR,True,155,62,78699.13,Guanajuato,0.88,0,0,0.61,2,27,3,0,0.4
3/28/2019,BJXCR,True,155,56,74690.29,Guanajuato,0.82,0,0,0.14,3,28,3,0,0.361290323
3/29/2019,BJXCR,True,155,71,100132.47,Guanajuato,0.87,0,0,0.32,4,29,3,0,0.458064516
3/30/2019,BJXCR,True,155,66,111867.12,Guanajuato,0.89,0,0,0.31,5,30,3,0,0.425806452
3/31/2019,BJXCR,True,155,122,149308.7,Guanajuato,0.87,0,0,0.28,6,31,3,0,0.787096774
4/1/2019,BJXCR,True,155,121,153145.89,Guanajuato,0.78,0,0,0.36,0,1,4,0,0.780645161
4/2/2019,BJXCR,True,155,121,149495.51,Guanajuato,0.83,0,0,0.16,1,2,4,0,0.780645161
4/3/2019,BJXCR,True,155,105,128781.29,Guanajuato,0.77,0,0,0.67,2,3,4,0,0.677419355
4/4/2019,BJXCR,True,155,138,174948.34,Guanajuato,0.78,0,0,0.22,3,4,4,0,0.890322581
4/5/2019,BJXCR,True,155,139,192183.36,Guanajuato,0.74,0,0,0.29,4,5,4,0,0.896774194
4/6/2019,BJXCR,True,155,143,189785.22,Guanajuato,0.73,0,0,0.36,5,6,4,0,0.922580645
4/7/2019,BJXCR,True,155,121,147897.83,Guanajuato,0.76,0,0,0.59,6,7,4,0,0.780645161
4/8/2019,BJXCR,True,155,135,167633.23,Guanajuato,0.74,0,0,0.31,0,8,4,0,0.870967742
4/9/2019,BJXCR,True,155,113,138580.41,Guanajuato,0.87,0,0,0.38,1,9,4,0,0.729032258
4/10/2019,BJXCR,True,155,117,148376.17,Guanajuato,0.77,0,0,0.22,2,10,4,0,0.75483871
4/11/2019,BJXCR,True,155,121,154233.78,Guanajuato,0.8,0,0,0.61,3,11,4,0,0.780645161
4/12/2019,BJXCR,True,155,97,129201.44,Guanajuato,0.84,0,0,0.41,4,12,4,0,0.625806452
